scheme_code,scheme_name,category,fund_start_date,fund_age_years,return_3m_pct,return_1y_pct,cagr_3y_pct,cagr_5y_pct,sharpe_ratio,fund_house
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,Equity - Banking,04/01/21,4.99,1.2,6.93,7.04,5.41,-0.42,Mirae Asset MF
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,Equity - Banking,04/01/21,4.99,1.31,7.71,7.72,6.2,0.11,Nippon India MF
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,Equity - Banking,04/01/21,4.99,-0.25,0.15,0.14,-0.27,-5.1,Nippon India MF
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,Equity - Banking,04/01/21,4.99,1.31,7.71,7.72,6.21,0.11,Nippon India MF
134550,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,Equity - Banking,04/01/21,4.99,-0.08,0.35,0.37,0.2,-5.71,Nippon India MF
134556,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,Equity - Banking,04/01/21,4.99,-0.1,0.48,0.78,0.44,-1.67,Nippon India MF
134554,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,Equity - Banking,04/01/21,4.99,-0.25,0.14,0.14,-0.27,-5.09,Nippon India MF
134548,NIPPON INDIA BANKING and PSU FUND - IDCW Option,Equity - Banking,04/01/21,4.99,1.21,7.29,7.29,5.75,-0.18,Nippon India MF
134549,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,Equity - Banking,04/01/21,4.99,-0.12,0.3,0.34,0.16,-5.68,Nippon India MF
134551,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,Equity - Banking,04/01/21,4.99,-0.11,0.44,0.73,0.35,-1.76,Nippon India MF
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,Equity - Banking,04/01/21,4.99,1.3,7.7,7.72,6.21,0.11,Nippon India MF
134546,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,Equity - Banking,,,,,,,,Nippon India MF
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,Equity - Banking,04/01/21,4.99,1.21,7.29,7.29,5.75,-0.18,Nippon India MF
125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Equity - Banking,04/01/21,4.99,1.3,7.86,7.67,5.85,-0.12,SBI MF
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,Equity - Banking,04/01/21,4.99,1.3,7.86,7.67,5.85,-0.12,SBI MF
125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Equity - Banking,04/01/21,4.99,0.15,3,3.94,1.86,-1.45,SBI MF
125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Equity - Banking,04/01/21,4.99,1.3,7.86,7.67,5.85,-0.12,SBI MF
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,Equity - Banking,04/01/21,4.99,1.2,7.43,7.2,5.37,-0.45,SBI MF
125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Equity - Banking,04/01/21,4.99,1.2,7.43,7.2,5.37,-0.45,SBI MF
125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Equity - Banking,04/01/21,4.99,-0.03,2.28,3.25,1.2,-1.64,SBI MF
125500,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Equity - Banking,04/01/21,4.99,1.2,7.42,7.19,5.37,-0.45,SBI MF
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,Equity - Banking,,,,,,,,Sundaram MF
